Date,txn_type,account_number,txn_amount,balance,mode
2020-10-10 14:06:42,Cr,1,2000,2000,online
2020-10-12 09:06:42,Cr,1,100,1900,cash
2020-10-17 13:26:42,Cr,2,500,500,online
2020-10-19 19:06:42,Cr,1,500,1400,online
2020-10-20 18:06:42,Cr,2,300,200,atm
2020-10-25 20:06:42,Cr,1,600,2000,atm
2020-11-01 16:06:42,Cr,3,2500,2500,cash
2020-11-10 18:46:42,Cr,4,5000,5000,cash
2021/02/10 11:34:27,Cr,1,2000,4600,online
2021/02/10 12:03:21,Dr,1,2000,2600,atm
2021/02/10 13:26:39,Dr,2,200,400,atm
2021/02/10 15:29:17,Cr,1,200,2800,cash
2021/02/10 15:29:48,Cr,5,200,200,cash
